acl_key,year,c3_hit,title
park-etal-2025-polite,2025,yes,Too Polite to be Human: Evaluating {LLM} Empathy in {K}orean Conversations via a {DCT}-Based Framework
pal-chowdhury-etal-2025-educators,2025,yes,Educators' Perceptions of Large Language Models as Tutors: Comparing Human and {AI} Tutors in a Blind Text-only Setting
nguyen-etal-2025-large,2025,yes,Do Large Language Models Align with Core Mental Health Counseling Competencies?
nguyen-etal-2025-hanging,2025,no,Hanging in the Balance: Pivotal Moments in Crisis Counseling Conversations
ngueajio-etal-2025-think,2025,yes,Think Like a Person Before Responding: A Multi-Faceted Evaluation of Persona-Guided {LLM}s for Countering Hate Speech.
na-etal-2025-survey,2025,yes,A Survey of Large Language Models in Psychotherapy: Current Landscape and Future Directions
mohanty-etal-2025-bridging,2025,yes,Bridging Context Gaps: Enhancing Comprehension in Long-Form Social Conversations Through Contextualized Excerpts
min-etal-2025-speech,2025,yes,Speech-Integrated Modeling for Behavioral Coding in Counseling
matsuura-etal-2025-emonews,2025,yes,{E}mo{N}ews: A Spoken Dialogue System for Expressive News Conversations
malik-etal-2025-llms,2025,yes,Are {LLM}s Empathetic to All? Investigating the Influence of Multi-Demographic Personas on a Model{'}s Empathy
mahmood-etal-2025-fully,2025,yes,A Fully Generative Motivational Interviewing Counsellor Chatbot for Moving Smokers Towards the Decision to Quit
madani-srihari-2025-steering,2025,yes,Steering Conversational Large Language Models for Long Emotional Support Conversations
madani-srihari-2025-esc,2025,yes,{ESC}-Judge: A Framework for Comparing Emotional Support Conversational Agents
li-etal-2025-llms-cant,2025,yes,When {LLM}s Can{'}t Help: Real-World Evaluation of {LLM}s in Nutrition
li-etal-2025-facilitating,2025,no,Facilitating Cross-lingual Transfer of Empathy through Language-independent Latent Diffusion: A Case Study in {C}hinese
li-etal-2025-ai,2025,yes,{AI} Chatbots as Professional Service Agents: Developing a Professional Identity
li-etal-2025-aesbiasbench,2025,yes,{A}es{B}ias{B}ench: Evaluating Bias and Alignment in Multimodal Language Models for Personalized Image Aesthetic Assessment
lee-etal-2025-star-strategy,2025,no,{STAR}: Strategy-Aware Refinement Module in Multitask Learning for Emotional Support Conversations
lee-etal-2025-panictocalm,2025,yes,{P}anic{T}o{C}alm: A Proactive Counseling Agent for Panic Attacks
lee-etal-2025-multilingual,2025,yes,"Multilingual, Not Multicultural: Uncovering the Cultural Empathy Gap in {LLM}s through a Comparative Empathetic Dialogue Benchmark"
lee-etal-2025-heart,2025,no,From Heart to Words: Generating Empathetic Responses via Integrated Figurative Language and Semantic Context Signals
